Player Name,C,L,R,D,CON,CK,FG,DI,SK,ST,EN,DU,PH,FO,PA,SC,DF,PS,EX,LD,PO,MO,OV,Age,Contract,Salary,Link
Brady Skjei,,,,X,100.00,74,37,81,90,84,96,99,69,35,75,62,85,60,91,77,0,40,82,32,6,"7,000,000$",NHL Link
Troy Terry,,X,,,100.00,60,35,97,86,66,95,82,87,55,89,77,74,92,59,61,0,40,82,28,5,"7,000,000$",NHL Link
Tyler Toffoli,,,X,,100.00,69,35,96,78,75,88,97,85,55,80,75,69,68,99,99,0,40,82,34,3,"6,000,000$",NHL Link
Carter Verhaeghe,X,,,,100.00,60,35,88,90,66,93,95,83,67,81,81,70,60,81,61,0,40,82,30,8,"7,000,000$",NHL Link
Trevor Zegras,X,,,,100.00,60,35,75,84,64,95,98,89,71,88,82,71,99,52,54,0,40,82,25,1,"5,750,000$",NHL Link
Jason Zucker,,X,,,100.00,68,40,93,81,70,89,83,88,57,76,84,66,62,99,80,0,40,82,34,2,"4,750,000$",NHL Link
Josh Anderson,,,X,,100.00,94,90,62,99,97,87,91,63,66,66,73,75,62,87,72,0,40,81,32,0,0$,NHL Link
Viktor Arvidsson,,X,,,100.00,60,35,91,87,56,87,89,79,55,81,83,73,80,99,72,0,40,81,33,0,0$,NHL Link
Pavel Buchnevich,,,X,,100.00,62,35,89,80,72,94,98,81,59,79,78,76,64,75,72,0,40,81,31,0,0$,NHL Link
Thomas Chabot,,,,X,100.00,63,35,89,84,75,96,79,76,35,79,67,88,61,64,81,0,40,81,29,0,0$,NHL Link
Brandt Clarke,,,,X,100.00,65,43,75,81,76,92,99,79,35,81,67,93,78,52,45,0,40,81,23,1,"863,334$",NHL Link
Blake Coleman,,X,,,100.00,82,39,77,87,74,93,89,70,56,71,77,83,62,79,88,0,40,81,34,0,0$,NHL Link
Logan Cooley,X,,,,100.00,65,35,89,99,68,93,77,83,77,75,83,74,61,46,46,0,40,81,22,1,"950,000$",NHL Link
Andrew Copp,X,,,,100.00,67,35,90,88,75,91,97,74,90,83,68,80,50,83,77,0,40,81,31,0,0$,NHL Link
Ivan Demidov,,,X,,100.00,60,35,86,89,66,89,99,90,50,89,77,71,80,48,40,0,40,81,20,2,"940,833$",NHL Link
Josh Doan,,X,,,100.00,70,41,95,88,76,90,99,85,55,78,81,78,63,48,43,0,40,81,24,0,0$,NHL Link
Drew Doughty,,,,X,100.00,72,35,79,79,80,98,91,69,35,73,64,79,62,99,99,0,40,81,36,0,0$,NHL Link
Vince Dunn,,,,X,100.00,65,35,75,79,73,95,98,85,35,82,70,76,50,69,69,0,40,81,29,0,0$,NHL Link
Gustav Forsling,,,,X,100.00,66,39,78,91,72,96,97,67,35,78,62,87,50,79,65,0,43,81,30,7,"5,750,000$",NHL Link
Cam Fowler,,,,X,100.00,66,36,93,81,80,95,99,73,35,77,64,76,63,99,96,0,40,81,34,0,0$,NHL Link
Ryan Hartman,,,X,,100.00,67,50,86,84,71,92,94,77,76,74,80,81,61,96,74,0,40,81,31,0,0$,NHL Link
Erik Haula,,X,,,100.00,73,35,67,89,70,91,98,76,75,76,72,75,73,99,81,0,40,81,35,0,0$,NHL Link
Luke Hughes,,,,X,100.00,62,35,85,93,74,97,88,78,35,81,65,78,61,52,47,0,43,81,22,7,"9,000,000$",NHL Link
Evander Kane,,X,,,100.00,86,64,64,87,89,91,90,73,56,73,71,67,67,95,89,0,40,81,34,0,0$,NHL Link
Alex Killorn,,X,,,100.00,73,35,86,86,78,91,99,72,57,72,73,77,75,99,99,0,40,81,36,0,0$,NHL Link
Artturi Lehkonen,,X,,,100.00,60,35,94,80,59,95,89,76,55,79,77,75,65,93,71,0,43,81,30,2,"4,500,000$",NHL Link
Ryan Leonard,X,,,,100.00,82,44,87,99,80,87,93,82,70,77,77,69,79,44,40,0,40,81,21,2,"950,000$",NHL Link
Mason Marchment,,X,,,100.00,79,40,75,78,90,93,88,78,56,79,78,76,63,77,55,0,40,81,31,0,0$,NHL Link
Ryan McDonagh,,,,X,100.00,72,40,99,74,85,91,72,64,35,73,68,87,50,99,99,0,40,81,37,0,0$,NHL Link
Bobby McMann,X,,,,100.00,89,47,85,99,86,90,96,72,65,72,83,69,64,55,47,0,40,81,30,0,0$,NHL Link
Brayden McNabb,,,,X,100.00,83,40,89,70,91,93,84,62,35,65,65,92,50,99,98,0,40,81,35,0,0$,NHL Link
Mason McTavish,X,,,,100.00,83,39,80,80,87,89,93,77,80,77,75,69,94,49,66,0,43,81,23,6,"7,000,000$",NHL Link
Brandon Montour,,,,X,100.00,68,39,79,88,69,96,85,75,35,76,70,78,63,85,71,0,40,81,32,0,0$,NHL Link
Alexander Nikishin,,,,X,100.00,88,52,85,85,91,89,98,76,35,75,69,85,63,52,39,0,40,81,24,0,0$,NHL Link
Shane Pinto,X,,,,100.00,77,36,82,87,84,95,91,75,82,76,79,81,81,57,50,0,40,81,25,0,0$,NHL Link
Owen Power,,,,X,100.00,76,45,93,84,97,95,98,67,35,74,66,84,64,50,52,0,43,81,23,6,"8,350,000$",NHL Link
Matt Roy,,,,X,100.00,86,41,97,82,89,93,97,63,35,72,62,92,50,73,63,0,40,81,31,0,0$,NHL Link
Kiefer Sherwood,,,X,,100.00,99,35,83,88,78,93,91,78,56,69,79,74,66,64,53,0,40,81,31,0,0$,NHL Link
Matthew Tkachuk,,X,,,100.00,66,74,81,70,76,94,59,91,55,83,76,65,77,87,86,0,40,81,28,0,0$,NHL Link
Kevin Bahl,,,,X,100.00,90,57,78,79,99,95,94,64,35,70,65,91,50,53,51,0,40,80,26,0,0$,NHL Link
Matty Beniers,X,,,,100.00,60,35,96,86,64,96,99,82,86,80,76,75,80,50,68,0,40,80,23,0,0$,NHL Link
Jamie Benn,,X,,,100.00,78,77,67,75,85,85,82,75,57,76,77,69,69,99,99,0,40,80,36,0,0$,NHL Link
Connor Brown,,,X,,100.00,60,35,94,92,61,93,93,75,55,77,76,76,60,82,72,0,40,80,32,0,0$,NHL Link
Noah Cates,,X,,,100.00,72,50,85,84,75,91,99,77,75,79,76,84,50,53,52,0,40,80,27,0,0$,NHL Link
Erik Cernak,,,,X,100.00,92,69,64,82,99,88,82,62,35,66,64,88,50,89,62,0,40,80,29,0,0$,NHL Link
Will Cuylle,,X,,,100.00,99,71,72,88,93,92,99,73,57,72,76,75,50,49,48,0,40,80,24,0,0$,NHL Link
Simon Edvinsson,,,,X,100.00,84,57,67,82,99,96,91,64,35,71,69,92,50,43,44,0,40,80,23,1,"894,167$",NHL Link
William Eklund,,X,,,100.00,63,35,90,87,62,95,96,86,56,86,72,70,78,45,49,0,40,80,23,1,"863,333$",NHL Link
Oliver Ekman-Larsson,,,,X,100.00,67,35,68,77,71,93,96,77,35,81,67,74,64,85,97,0,40,80,34,0,0$,NHL Link
Martin Fehervary,,,,X,100.00,77,44,86,84,80,91,98,64,35,75,65,97,50,64,56,0,40,80,26,0,0$,NHL Link
Mario Ferraro,,,,X,100.00,83,45,84,77,80,94,99,63,35,71,66,98,50,51,77,0,40,80,27,0,0$,NHL Link
Morgan Frost,X,,,,100.00,65,35,88,90,68,89,99,83,94,74,79,70,90,50,56,0,40,80,27,0,0$,NHL Link
Emil Heineman,,X,,,100.00,93,35,95,98,79,91,99,73,55,66,77,71,78,49,43,0,40,80,24,0,0$,NHL Link
Simon Holmstrom,,,X,,100.00,69,38,99,92,83,91,97,71,55,75,79,82,86,50,50,0,40,80,25,0,0$,NHL Link
Mark Kastelic,X,,,,100.00,99,99,50,93,99,84,99,63,88,67,72,89,50,53,51,0,40,80,27,0,0$,NHL Link
Jordan Kyrou,X,,,,100.00,60,35,99,92,71,90,91,80,65,80,75,71,79,70,61,0,40,80,28,0,0$,NHL Link
Jeremy Lauzon,,,,X,100.00,99,99,67,84,99,87,88,62,35,69,61,83,50,76,56,0,40,80,29,0,0$,NHL Link
Adam Lowry,X,,,,100.00,88,87,90,84,92,88,89,63,90,71,65,78,50,97,99,0,40,80,33,0,0$,NHL Link
Jordan Martinook,,,X,,100.00,81,45,87,88,81,88,95,64,56,72,72,78,63,98,93,0,40,80,33,0,0$,NHL Link
Connor McMichael,X,,,,100.00,60,35,85,94,65,92,96,74,76,82,74,81,71,61,52,0,40,80,25,0,0$,NHL Link
Frank Nazar,X,,,,100.00,61,35,93,99,63,94,86,82,81,79,74,75,83,41,42,0,40,80,22,1,"950,000$",NHL Link
Josh Norris,X,,,,100.00,62,35,88,92,74,90,69,84,77,79,76,70,84,55,50,0,40,80,27,0,0$,NHL Link
Vasili Podkolzin,,,X,,100.00,91,80,81,95,75,89,99,68,56,72,77,77,60,60,51,0,40,80,25,0,0$,NHL Link
Ryan Poehling,X,,,,100.00,69,35,99,97,80,90,93,66,85,77,71,86,65,56,54,0,40,80,27,0,0$,NHL Link
Jack Quinn,,,X,,100.00,60,35,93,95,66,89,99,79,55,81,77,69,96,51,49,0,40,80,24,0,0$,NHL Link
Rasmus Ristolainen,,,,X,100.00,78,43,94,77,92,94,69,67,35,72,61,80,65,66,79,0,43,80,31,2,"5,100,000$",NHL Link
Jack Roslovic,X,,,,100.00,66,35,96,95,74,90,89,73,74,71,80,67,65,82,67,0,40,80,29,0,0$,NHL Link
Braden Schneider,,,,X,100.00,89,40,88,83,92,93,99,64,35,71,62,90,50,60,55,0,40,80,24,0,0$,NHL Link
Damon Severson,,,,X,100.00,68,46,76,82,80,95,90,70,35,77,68,83,64,69,81,0,40,80,31,0,0$,NHL Link
Will Smith,X,,,,100.00,60,35,94,84,60,94,89,89,66,85,81,66,79,39,43,0,40,80,21,2,"950,000$",NHL Link
Teuvo Teravainen,X,,,,100.00,60,35,98,78,64,93,93,84,67,75,74,75,79,97,80,0,40,80,31,0,0$,NHL Link
Devon Toews,,,,X,100.00,60,35,84,83,68,96,88,68,35,75,63,90,60,92,79,0,40,80,32,6,"7,250,000$",NHL Link
Sean Walker,,,,X,100.00,75,35,72,85,68,95,98,67,35,75,67,90,60,74,61,0,40,80,31,0,0$,NHL Link
Zach Whitecloud,,,,X,100.00,86,40,85,77,89,93,96,62,35,70,62,88,50,78,72,0,40,80,29,0,0$,NHL Link
Michael Amadio,,,X,,100.00,78,35,97,86,80,90,98,64,55,73,74,82,61,78,63,0,40,79,30,0,0$,NHL Link
Morgan Barron,X,,,,100.00,93,56,86,98,95,84,86,63,76,69,71,80,50,59,52,0,40,79,27,0,0$,NHL Link
Andre Burakovsky,,X,,,100.00,64,35,94,85,77,91,93,77,55,75,70,71,72,95,77,0,40,79,31,0,0$,NHL Link
Brandon Carlo,,,,X,100.00,84,58,79,78,98,91,78,61,35,66,60,85,50,88,72,0,40,79,29,0,0$,NHL Link
Egor Chinakhov,,,X,,100.00,69,35,99,99,77,85,91,73,55,75,79,68,85,51,48,0,40,79,25,0,0$,NHL Link
Louis Crevier,,,,X,100.00,91,58,68,89,99,87,96,63,35,72,66,83,72,44,42,0,40,79,25,0,0$,NHL Link
Max Domi,X,,,,100.00,69,87,65,91,73,88,97,72,75,76,71,70,66,81,79,0,40,79,31,0,0$,NHL Link
Brian Dumoulin,,,,X,100.00,72,40,89,79,88,88,99,62,35,70,62,82,50,99,78,0,40,79,34,0,0$,NHL Link
Luke Evangelista,,,X,,100.00,60,35,96,85,61,91,98,84,55,89,69,70,74,49,49,0,40,79,24,0,0$,NHL Link
Marcus Foligno,,X,,,100.00,99,99,67,78,99,84,78,64,55,64,69,76,60,98,99,0,40,79,34,0,0$,NHL Link
Collin Graf,,,X,,100.00,70,35,98,91,71,91,98,68,55,77,79,84,69,43,42,0,40,79,23,0,0$,NHL Link
Radko Gudas,,,,X,100.00,91,99,75,77,82,86,78,62,35,69,62,82,50,99,99,0,40,79,36,0,0$,NHL Link
Erik Gudbranson,,,,X,100.00,80,63,89,83,96,88,63,61,35,62,62,83,60,88,96,0,40,79,34,0,0$,NHL Link
Nicolas Hague,,,,X,100.00,91,84,76,82,99,91,83,62,35,69,64,77,50,69,58,0,40,79,27,0,0$,NHL Link
Kaapo Kakko,,,X,,100.00,73,39,94,78,86,87,86,75,56,80,74,71,78,66,59,0,40,79,25,0,0$,NHL Link
Tyler Kleven,,,,X,100.00,91,80,78,79,99,88,89,63,35,71,63,88,50,53,44,0,40,79,24,0,0$,NHL Link
Peyton Krebs,X,,,,100.00,84,67,77,95,70,86,99,65,74,78,72,75,50,52,55,0,40,79,25,0,0$,NHL Link
Scott Mayfield,,,,X,100.00,81,78,70,86,94,86,97,62,35,69,62,81,50,86,68,0,40,79,33,0,0$,NHL Link
Jared McCann,X,,,,100.00,60,37,99,78,66,91,75,84,68,76,80,69,67,75,74,0,40,79,30,0,0$,NHL Link
Fraser Minten,X,,,,100.00,83,35,92,90,82,89,99,69,82,72,75,84,78,46,41,0,40,79,21,0,0$,NHL Link
Casey Mittelstadt,X,,,,100.00,66,35,99,84,76,89,90,75,69,79,75,68,86,62,63,0,40,79,27,0,0$,NHL Link
Trevor Moore,,,X,,100.00,66,35,97,99,67,91,89,67,55,74,71,78,89,82,61,0,40,79,31,0,0$,NHL Link
Connor Murphy,,,,X,100.00,79,99,72,71,89,88,97,62,35,68,65,92,50,71,95,0,40,79,33,0,0$,NHL Link
Jake Neighbours,,X,,,100.00,84,42,79,83,77,89,89,77,55,75,75,70,81,50,65,0,40,79,24,0,0$,NHL Link
Jean-Gabriel Pageau,X,,,,100.00,68,35,99,84,62,90,93,66,98,72,78,79,61,96,82,0,40,79,33,0,0$,NHL Link
Kyle Palmieri,,,X,,100.00,60,35,96,82,61,96,54,82,55,75,69,71,82,99,99,0,40,79,35,0,0$,NHL Link
Adam Pelech,,,,X,100.00,73,37,75,82,84,93,99,62,35,68,64,92,50,82,70,0,40,79,31,0,0$,NHL Link
David Perron,,X,,,100.00,77,35,83,82,79,86,86,74,55,71,72,68,74,99,99,0,40,79,38,0,0$,NHL Link
Corey Perry,,,X,,100.00,68,95,70,73,83,86,91,80,55,74,75,65,85,99,99,0,40,79,41,0,0$,NHL Link
Luke Schenn,,,,X,100.00,99,99,78,73,95,82,74,61,35,65,61,77,50,99,96,0,40,79,36,0,0$,NHL Link
Nate Schmidt,,,,X,100.00,69,35,91,78,71,92,99,64,35,71,65,85,60,99,80,0,40,79,34,0,0$,NHL Link
Tyler Seguin,X,,,,100.00,67,35,99,80,79,91,55,76,73,72,73,65,84,99,99,0,40,79,34,0,0$,NHL Link
Jaccob Slavin,,,,X,100.00,65,36,98,79,81,94,65,62,35,67,62,89,64,95,92,0,40,79,32,0,0$,NHL Link
Jimmy Snuggerud,,,X,,100.00,68,35,95,84,71,91,89,80,55,81,79,75,77,45,39,0,40,79,22,2,"950,000$",NHL Link
Jared Spurgeon,,,,X,100.00,60,35,95,84,47,91,97,72,35,71,66,88,60,99,99,0,40,79,36,0,0$,NHL Link
Logan Stanley,,,,X,100.00,92,99,50,76,99,87,94,65,35,72,68,80,50,73,50,0,40,79,28,0,0$,NHL Link
Jonathan Toews,X,,,,100.00,63,35,78,80,75,87,99,75,98,72,70,70,88,99,97,0,40,79,38,0,0$,NHL Link
Eeli Tolvanen,,,X,,100.00,84,35,85,81,68,91,96,78,55,76,69,78,74,66,58,0,40,79,27,0,0$,NHL Link
Yakov Trenin,X,,,,100.00,99,54,81,94,87,85,99,63,67,71,66,80,50,75,60,0,40,79,29,0,0$,NHL Link
James van-Riemsdyk,,X,,,100.00,67,37,95,80,82,82,91,78,55,71,74,67,79,99,98,0,40,79,37,0,0$,NHL Link
Alex Vlasic,,,,X,100.00,72,54,95,85,92,94,98,63,35,73,62,89,50,46,49,0,40,79,25,0,0$,NHL Link
Fabian Zetterlund,,X,,,100.00,94,38,99,88,86,84,99,72,55,71,75,72,64,57,53,0,40,79,26,0,0$,NHL Link
Mikey Anderson,,,,X,100.00,73,35,93,75,72,93,97,63,35,71,65,89,50,73,73,0,40,78,27,0,0$,NHL Link
Joel Armia,,,X,,100.00,80,40,81,80,89,88,87,66,57,69,72,82,66,84,70,0,40,78,33,0,0$,NHL Link
Anthony Beauvillier,,X,,,100.00,64,35,86,94,61,90,99,65,57,69,73,77,83,78,74,0,40,78,29,0,0$,NHL Link
Simon Benoit,,,,X,100.00,93,49,81,87,90,88,92,61,35,64,60,83,50,59,54,0,40,78,27,0,0$,NHL Link
Oliver Bjorkstrand,,,X,,100.00,61,35,97,83,60,86,97,84,55,73,70,70,66,85,73,0,40,78,31,0,0$,NHL Link
Jackson Blake,,,X,,100.00,60,35,84,81,60,91,98,80,55,81,78,74,87,51,44,0,40,78,22,1,"905,833$",Link / NHL Link
Justin Brazeau,,,X,,100.00,86,44,96,78,96,84,85,71,55,73,77,73,50,61,44,0,40,78,28,0,0$,NHL Link
Jonas Brodin,,,,X,100.00,60,35,95,76,71,92,83,63,35,71,64,90,50,99,85,0,40,78,32,0,0$,NHL Link
William Carrier,,X,,,100.00,98,38,95,89,91,80,89,62,55,68,68,70,50,94,63,0,40,78,31,0,0$,NHL Link
Cody Ceci,,,,X,100.00,70,37,90,80,84,88,99,61,35,65,61,84,60,99,87,0,40,78,32,0,0$,NHL Link
Casey Cizikas,X,,,,100.00,82,35,87,90,71,82,98,62,83,65,69,77,62,99,88,0,40,78,35,0,0$,NHL Link
Ross Colton,X,,,,100.00,83,38,99,96,73,84,92,65,67,71,68,72,68,79,57,0,40,78,29,0,0$,NHL Link
Nic Dowd,X,,,,100.00,80,41,66,83,78,87,93,63,84,71,65,80,74,95,86,0,40,78,36,0,0$,NHL Link
Jamie Drysdale,,,,X,100.00,60,35,89,95,60,94,96,76,35,76,68,77,50,51,51,0,40,78,24,0,0$,NHL Link
Pierre-Luc Dubois,X,,,,100.00,74,41,99,79,88,92,57,76,72,76,68,66,81,85,69,0,40,78,28,0,0$,NHL Link
Zemgus Girgensons,,X,,,100.00,88,41,87,88,80,88,93,63,59,68,69,74,64,70,81,0,40,78,32,0,0$,NHL Link
Brett Howden,X,,,,100.00,77,45,83,94,79,88,80,67,76,68,73,70,50,75,61,0,40,78,28,0,0$,NHL Link
Jonathan Huberdeau,,X,,,100.00,65,46,84,75,75,94,74,79,55,72,71,70,79,81,99,0,40,78,33,0,0$,NHL Link
Alex Iafallo,,X,,,100.00,78,35,94,85,75,89,97,70,56,71,72,75,62,81,71,0,40,78,32,0,0$,NHL Link
Tanner Jeannot,,X,,,100.00,99,99,74,87,95,84,95,63,55,71,66,75,50,74,55,0,40,78,29,0,0$,NHL Link
Parker Kelly,X,,,,100.00,80,35,88,87,70,84,99,64,68,69,79,83,50,58,53,0,40,78,27,0,0$,NHL Link
Mason Lohrei,,,,X,100.00,73,43,89,81,92,87,92,70,35,73,67,83,64,53,45,0,40,78,25,0,0$,NHL Link
Steven Lorentz,X,,,,100.00,95,42,96,88,96,82,90,62,67,68,67,81,50,70,56,0,40,78,30,0,0$,NHL Link
Eetu Luostarinen,X,,,,100.00,73,35,92,84,75,91,92,68,70,75,69,80,63,69,59,0,40,78,27,0,0$,NHL Link
Olli Maatta,,,,X,100.00,65,36,99,81,80,88,68,63,35,72,64,79,50,93,79,0,40,78,31,0,0$,NHL Link
Beck Malenstyn,,X,,,100.00,99,59,92,99,92,81,98,62,55,65,67,83,50,60,49,0,40,78,28,0,0$,NHL Link
Sam Malinski,,,,X,100.00,62,35,88,91,65,88,99,66,35,81,67,88,50,56,45,0,40,78,27,0,0$,NHL Link
John Marino,,,,X,100.00,60,35,93,84,62,92,97,65,35,82,65,84,50,75,59,0,40,78,29,0,0$,NHL Link
Michael McCarron,,,X,,100.00,99,99,63,85,99,87,97,62,78,66,67,85,50,76,56,0,40,78,31,0,0$,NHL Link
Dawson Mercer,X,,,,100.00,60,35,90,82,61,94,99,75,70,75,76,78,61,55,57,0,40,78,24,0,0$,NHL Link
Jacob Middleton,,,,X,100.00,82,99,71,79,89,88,93,62,35,70,62,85,50,72,56,0,40,78,30,0,0$,NHL Link
Ilya Mikheyev,,,X,,100.00,60,35,95,98,71,93,95,65,55,72,76,77,61,73,58,0,40,78,31,0,0$,NHL Link
Niko Mikkola,,,,X,100.00,79,50,80,83,90,93,88,62,35,66,63,82,50,76,56,0,40,78,30,0,0$,NHL Link
Nino Niederreiter,,,X,,100.00,81,40,92,79,88,86,82,70,55,68,69,66,63,99,91,0,40,78,33,0,0$,NHL Link
Mathieu Olivier,,,X,,100.00,99,99,66,81,99,87,82,64,55,68,76,75,50,61,52,0,40,78,29,0,0$,NHL Link
Nick Paul,,X,,,100.00,91,73,88,85,99,86,74,69,70,67,68,67,60,81,64,0,40,78,31,0,0$,NHL Link
JJ Peterka,,X,,,100.00,60,35,88,93,65,90,99,75,55,75,81,69,65,50,52,0,40,78,24,0,0$,NHL Link
Marco Rossi,X,,,,100.00,66,35,99,79,67,93,74,85,76,79,74,69,75,51,48,0,40,78,24,0,0$,NHL Link
Dylan Samberg,,,,X,100.00,76,41,94,79,90,95,86,62,35,70,61,91,50,62,50,0,40,78,27,0,0$,NHL Link
Rasmus Sandin,,,,X,100.00,68,35,94,82,65,91,92,67,35,77,65,91,60,63,56,0,40,78,26,0,0$,NHL Link
Jaden Schwartz,,X,,,100.00,61,35,94,79,63,90,74,71,65,72,72,80,60,99,97,0,40,78,34,0,0$,NHL Link
Jonas Siegenthaler,,,,X,100.00,82,62,80,76,88,91,99,62,35,71,60,87,50,71,59,0,40,78,29,0,0$,NHL Link
Trevor van-Riemsdyk,,,,X,100.00,66,37,91,81,82,86,88,62,35,68,65,86,60,99,76,0,40,78,34,0,0$,NHL Link
Dmitri Voronkov,,X,,,100.00,95,83,65,82,99,86,84,77,55,71,76,68,50,45,46,0,40,78,25,0,0$,NHL Link
Jake Walman,,,,X,100.00,71,39,96,89,83,90,76,67,35,70,68,80,50,67,52,0,40,78,30,0,0$,NHL Link
Parker Wotherspoon,,,,X,100.00,79,38,79,79,74,92,97,64,35,78,63,90,50,58,45,0,40,78,28,0,0$,NHL Link
Cam York,,,,X,100.00,60,35,86,81,67,96,93,73,35,75,64,92,50,52,52,0,40,78,25,0,0$,NHL Link
Artyom Zub,,,,X,100.00,70,44,70,74,79,93,98,64,35,77,64,93,50,62,56,0,40,78,30,0,0$,NHL Link
Noel Acciari,X,,,,100.00,73,43,92,76,74,86,87,64,79,69,72,83,50,98,67,0,40,77,34,0,0$,NHL Link
Zach Benson,,,X,,100.00,60,35,87,84,55,90,86,75,55,82,73,78,50,45,46,0,40,77,21,1,"950,000$",NHL Link
Zach Bogosian,,,,X,100.00,81,41,86,80,91,83,67,61,40,64,63,75,65,97,88,0,40,77,35,0,0$,NHL Link
Will Borgen,,,,X,100.00,79,46,80,84,84,90,93,62,35,67,66,85,50,59,55,0,40,77,29,0,0$,NHL Link
Alexandre Carrier,,,,X,100.00,60,35,83,79,56,92,92,63,35,71,67,98,50,79,55,0,40,77,29,0,0$,NHL Link
Jalen Chatfield,,,,X,100.00,70,35,91,84,79,92,91,62,35,71,62,85,50,70,53,0,40,77,30,0,0$,NHL Link
J.T. Compher,,,X,,100.00,60,35,94,89,65,90,99,66,77,71,70,74,61,84,71,0,40,77,31,0,0$,NHL Link
Matt Coronato,,,X,,100.00,60,35,86,88,57,91,97,83,58,78,75,66,66,44,45,0,40,77,23,0,0$,NHL Link
Paul Cotter,X,,,,100.00,99,48,99,94,90,80,97,63,69,64,70,64,87,53,51,0,40,77,26,0,0$,NHL Link
Nick Cousins,X,,,,100.00,84,46,62,82,71,82,98,63,66,69,69,75,66,97,74,0,40,77,32,0,0$,NHL Link
Kirby Dach,X,,,,100.00,80,60,86,90,91,86,63,69,67,67,71,72,70,57,52,0,40,77,25,0,0$,NHL Link
Phillip Danault,X,,,,100.00,70,35,90,80,75,89,93,64,91,68,66,75,62,97,93,0,40,77,33,0,0$,NHL Link
Charle-Edouard D'Astous,,,,X,100.00,80,61,51,81,85,90,93,67,35,76,67,77,64,50,39,0,40,77,28,0,0$,NHL Link
Tony DeAngelo,,,,X,100.00,60,35,82,85,59,91,94,73,35,81,64,75,64,71,61,0,40,77,30,0,0$,NHL Link
Dylan DeMelo,,,,X,100.00,72,35,82,71,72,94,99,63,35,71,63,87,50,87,74,0,40,77,33,0,0$,NHL Link
Vincent Desharnais,,,,X,100.00,90,46,70,81,99,89,76,61,35,65,62,86,50,59,47,0,40,77,30,0,0$,NHL Link
Connor Dewar,X,,,,100.00,74,35,98,92,62,86,96,64,67,71,73,79,50,66,52,0,40,77,27,0,0$,NHL Link
Ryan Donato,X,,,,100.00,67,35,84,86,67,88,99,69,72,70,73,70,87,69,66,0,40,77,30,0,0$,NHL Link
Jonathan Drouin,,X,,,100.00,64,43,98,84,73,92,85,76,60,75,64,69,72,82,71,0,40,77,31,0,0$,NHL Link
Sean Durzi,,,,X,100.00,65,35,81,86,74,91,82,70,35,77,66,76,50,63,51,0,40,77,27,0,0$,NHL Link
Lars Eller,X,,,,100.00,72,35,96,84,79,82,88,64,82,67,66,74,65,99,99,0,40,77,37,0,0$,NHL Link
Radek Faksa,X,,,,100.00,83,40,92,81,89,82,80,63,77,72,63,82,62,95,76,0,40,77,32,0,0$,NHL Link
Joel Farabee,,X,,,100.00,60,44,94,84,64,92,99,70,56,72,77,78,73,54,62,0,40,77,26,0,0$,NHL Link
Warren Foegele,,X,,,100.00,75,35,91,88,81,86,88,65,56,63,74,71,62,91,66,0,40,77,30,0,0$,NHL Link
Nick Foligno,,X,,,100.00,89,91,83,76,82,84,77,67,63,69,65,73,75,99,99,0,40,77,38,0,0$,NHL Link
Brendan Gallagher,,,X,,100.00,67,35,84,89,59,83,95,70,65,71,66,68,63,99,99,0,40,77,34,0,0$,NHL Link
Conor Garland,,,X,,100.00,60,40,92,90,54,92,90,76,56,75,70,75,75,63,65,0,40,77,30,0,0$,NHL Link
Barclay Goodrow,,,X,,100.00,88,69,73,84,85,81,99,62,56,65,65,77,60,93,90,0,40,77,33,0,0$,NHL Link
A.J. Greer,,X,,,100.00,96,99,53,83,88,83,96,65,55,70,75,71,50,61,53,0,40,77,29,0,0$,NHL Link
Ridly Greig,X,,,,100.00,67,56,75,90,65,91,95,70,77,75,71,80,50,53,48,0,40,77,23,0,0$,NHL Link
Nick Jensen,,,,X,100.00,68,35,90,84,78,88,82,63,35,70,65,76,50,89,73,0,40,77,35,0,0$,NHL Link
Benjamin Kindel (R),X,,,,100.00,60,35,96,89,60,90,95,77,77,72,75,78,77,41,39,0,40,77,19,3,"975,000$",NHL Link
John Klingberg,,,,X,100.00,60,35,87,73,66,93,78,79,35,73,71,72,61,89,73,0,40,77,33,0,0$,NHL Link
Cole Koepke,,X,,,100.00,96,35,99,99,83,80,86,62,55,67,68,76,50,48,44,0,40,77,28,0,0$,NHL Link
Sean Kuraly,X,,,,100.00,78,47,85,86,83,85,99,63,79,71,65,81,50,86,70,0,40,77,33,0,0$,NHL Link
Noah Laba (R),X,,,,100.00,85,51,86,95,89,85,93,67,79,70,69,75,50,40,39,0,40,77,22,0,0$,NHL Link
Scott Laughton,X,,,,100.00,75,38,87,85,72,87,85,65,89,65,73,77,61,85,75,0,40,77,32,0,0$,NHL Link
Artyom Levshunov,,,,X,100.00,79,36,76,82,83,91,88,79,35,76,62,72,50,39,40,0,40,77,20,2,"975,000$",NHL Link
Jonathan Marchessault,,X,,,100.00,64,35,90,75,58,91,83,80,56,74,71,64,74,99,77,0,40,77,35,0,0$,NHL Link
Jack McBain,X,,,,100.00,99,99,64,80,99,86,93,64,79,71,68,75,50,52,52,0,40,77,26,0,0$,NHL Link
Matvei Michkov,,,X,,100.00,60,35,63,80,55,88,98,79,55,81,77,70,97,45,44,0,40,77,21,2,"950,000$",NHL Link
Pavel Mintyukov,,,,X,100.00,69,45,97,82,79,89,92,67,35,70,69,87,50,47,46,0,40,77,22,0,0$,NHL Link
